ID,Unnamed: 0,diameter,sample,label,injectWell,prot_total,Run,Well,plate,Order
A101Reporter.intensity.10,1,21.6,PDAC,Reporter.intensity.10,A10,10.0145293316266,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.11,2,26.54,Melanoma,Reporter.intensity.11,A10,10.3489299217094,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.12,3,25.68,Melanoma,Reporter.intensity.12,A10,10.1436374693458,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.13,4,17.43,Monocyte,Reporter.intensity.13,A10,9.21697088740628,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.14,5,18.57,Monocyte,Reporter.intensity.14,A10,9.89476274015782,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.15,6,22.94,Monocyte,Reporter.intensity.15,A10,9.94913297560627,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.16,7,25.4,PDAC,Reporter.intensity.16,A10,9.99973794302831,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.17,8,23.87,Melanoma,Reporter.intensity.17,A10,9.36932152493218,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.18,9,24.15,Melanoma,Reporter.intensity.18,A10,9.50640450649285,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.19,10,23.65,Melanoma,Reporter.intensity.19,A10,10.0812525097606,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.20,11,19.53,Monocyte,Reporter.intensity.20,A10,9.26901751361095,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.22,13,25.18,PDAC,Reporter.intensity.22,A10,9.86966707401041,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.23,14,25.42,PDAC,Reporter.intensity.23,A10,9.76557065068694,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.26,17,18.78,Monocyte,Reporter.intensity.26,A10,9.15619740776891,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.29,20,23.65,Melanoma,Reporter.intensity.29,A10,10.1250948298515,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.31,22,20.24,Monocyte,Reporter.intensity.31,A10,9.39384833574379,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.32,23,26.2,PDAC,Reporter.intensity.32,A10,10.1260429187729,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.4,24,25.18,PDAC,Reporter.intensity.4,A10,9.93227778833287,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.5,25,23.04,PDAC,Reporter.intensity.5,A10,10.218600321647,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.6,26,27.33,Melanoma,Reporter.intensity.6,A10,10.5332072379176,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.7,27,19.4,Monocyte,Reporter.intensity.7,A10,9.94855792033761,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.8,28,19.28,Monocyte,Reporter.intensity.8,A10,9.18104425302517,dAL_1k_Proto29_10,A10,1.0,10.0
A101Reporter.intensity.9,29,23.16,PDAC,Reporter.intensity.9,A10,9.80761861768071,dAL_1k_Proto29_10,A10,1.0,10.0
A111Reporter.intensity.10,30,24.09,Melanoma,Reporter.intensity.10,A11,10.2538590292518,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.11,31,19.79,Monocyte,Reporter.intensity.11,A11,9.44326504788449,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.12,32,22.66,Monocyte,Reporter.intensity.12,A11,9.76533985695769,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.13,33,24.67,Monocyte,Reporter.intensity.13,A11,10.0280540876577,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.14,34,21.95,PDAC,Reporter.intensity.14,A11,10.1392028033765,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.16,36,22.86,Melanoma,Reporter.intensity.16,A11,10.0007928381585,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.17,37,26.6,Melanoma,Reporter.intensity.17,A11,10.1536033407699,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.18,38,19.25,Monocyte,Reporter.intensity.18,A11,9.35325751530848,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.19,39,24.41,Monocyte,Reporter.intensity.19,A11,9.89848221888643,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.20,40,28.12,PDAC,Reporter.intensity.20,A11,10.3584599429019,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.21,41,28.23,PDAC,Reporter.intensity.21,A11,10.4378125756848,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.22,42,24.41,Melanoma,Reporter.intensity.22,A11,9.91646999042609,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.23,43,26.37,Melanoma,Reporter.intensity.23,A11,10.2771470958491,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.24,44,20.85,Monocyte,Reporter.intensity.24,A11,9.58129310943167,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.25,45,19.77,Monocyte,Reporter.intensity.25,A11,9.3839104283481,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.26,46,27.22,PDAC,Reporter.intensity.26,A11,10.3075544132769,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.27,47,25.63,Melanoma,Reporter.intensity.27,A11,10.1820062917856,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.28,48,24.74,Melanoma,Reporter.intensity.28,A11,9.54201644305072,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.29,49,18.41,Monocyte,Reporter.intensity.29,A11,9.49305716454407,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.30,50,21.11,PDAC,Reporter.intensity.30,A11,9.27020435537234,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.31,51,27.09,PDAC,Reporter.intensity.31,A11,10.1785318735613,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.32,52,22.59,PDAC,Reporter.intensity.32,A11,9.65592538353907,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.4,53,23.27,Melanoma,Reporter.intensity.4,A11,9.99758720741237,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.5,54,23.54,Monocyte,Reporter.intensity.5,A11,10.6124282300621,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.6,55,19.51,Monocyte,Reporter.intensity.6,A11,9.12580811437408,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.7,56,25.95,PDAC,Reporter.intensity.7,A11,10.4952016067611,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.8,57,22.93,PDAC,Reporter.intensity.8,A11,10.0181855828934,dAL_1k_Proto29_11,A11,1.0,11.0
A111Reporter.intensity.9,58,24.89,Melanoma,Reporter.intensity.9,A11,10.420353929902,dAL_1k_Proto29_11,A11,1.0,11.0
A11Reporter.intensity.10,59,19.68,Monocyte,Reporter.intensity.10,A1,9.66678207879003,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.11,60,19.85,PDAC,Reporter.intensity.11,A1,9.36697585505071,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.12,61,21.27,PDAC,Reporter.intensity.12,A1,9.49797482965163,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.13,62,24.76,Melanoma,Reporter.intensity.13,A1,10.0005916274588,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.14,63,33.14,Melanoma,Reporter.intensity.14,A1,11.323351091838,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.15,64,19.8,Monocyte,Reporter.intensity.15,A1,9.26081952149846,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.16,65,20.92,Monocyte,Reporter.intensity.16,A1,9.16577328955187,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.17,66,19.18,Monocyte,Reporter.intensity.17,A1,9.48104675713528,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.18,67,18.04,PDAC,Reporter.intensity.18,A1,8.81556892296309,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.21,70,29.52,Melanoma,Reporter.intensity.21,A1,10.3888429343024,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.23,72,25.49,Monocyte,Reporter.intensity.23,A1,9.76576626926729,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.24,73,21.74,PDAC,Reporter.intensity.24,A1,9.5493131101394,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.28,77,20.92,Monocyte,Reporter.intensity.28,A1,9.09434338093117,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.30,79,23.82,PDAC,Reporter.intensity.30,A1,9.54807717499613,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.31,80,22.58,Melanoma,Reporter.intensity.31,A1,9.77766632163781,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.4,82,21.36,Monocyte,Reporter.intensity.4,A1,9.30122930377568,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.5,83,23.14,PDAC,Reporter.intensity.5,A1,10.0773169148302,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.6,84,25.54,PDAC,Reporter.intensity.6,A1,9.89169379239427,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.7,85,24.52,PDAC,Reporter.intensity.7,A1,9.94829521366544,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.8,86,22.61,Melanoma,Reporter.intensity.8,A1,10.06393836313,dAL_1k_Proto29_1,A1,1.0,1.0
A11Reporter.intensity.9,87,21.09,Monocyte,Reporter.intensity.9,A1,9.82910407382121,dAL_1k_Proto29_1,A1,1.0,1.0
A121Reporter.intensity.10,88,24.22,Monocyte,Reporter.intensity.10,A12,10.050804792318,dAL_1k_Proto29_12,A12,1.0,12.0
A121Reporter.intensity.11,89,22.05,Monocyte,Reporter.intensity.11,A12,9.78854975139823,dAL_1k_Proto29_12,A12,1.0,12.0
A121Reporter.intensity.12,90,22.58,PDAC,Reporter.intensity.12,A12,9.75589962497487,dAL_1k_Proto29_12,A12,1.0,12.0
A121Reporter.intensity.13,91,24.42,Melanoma,Reporter.intensity.13,A12,9.9377392405557,dAL_1k_Proto29_12,A12,1.0,12.0
A121Reporter.intensity.14,92,25.36,Melanoma,Reporter.intensity.14,A12,10.62568540066,dAL_1k_Proto29_12,A12,1.0,12.0
