,Cluster,id,cellType
1814,2,i10,LC
272,20,i100,SPG
1480,8,i1000,SPC
5777,16,i1001,SPG
3808,18,i1002,SPG
1869,7,i1003,St
1226,7,i1004,St
5514,20,i1005,SPG
1952,5,i1006,St
3573,24,i1008,PTM
32,14,i101,SPG
2720,11,i1013,St
979,19,i1014,SPG
819,20,i1015,SPG
4841,20,i1016,SPG
4249,5,i1017,St
4319,0,i1018,PTM
1430,8,i1019,SPC
29,12,i102,St
1592,6,i1020,EC
1267,4,i1021,SPC
2824,11,i1022,St
860,8,i1023,SPC
653,5,i1025,St
261,8,i1026,SPC
3528,11,i103,St
1655,3,i1031,LC
2907,8,i1032,SPC
571,12,i1033,St
890,17,i1034,PTM
2804,17,i1035,PTM
5525,2,i1036,LC
4274,3,i1037,LC
3950,9,i1038,SPG
3311,14,i1039,SPG
338,8,i104,SPC
2872,2,i1040,LC
5588,9,i1041,SPG
3832,8,i1042,SPC
4373,2,i1044,LC
3511,9,i1049,SPG
5817,10,i105,SPG
5521,18,i1050,SPG
617,11,i1051,St
2240,14,i1052,SPG
204,13,i1053,SPG
2511,8,i1054,SPC
1133,1,i1055,PTM
2201,8,i1056,SPC
1706,19,i1057,SPG
4097,12,i1058,St
2442,11,i1059,St
1423,11,i106,St
623,6,i1060,EC
5157,14,i1061,SPG
707,6,i1062,EC
1208,16,i1067,SPG
4280,9,i1068,SPG
5508,14,i1069,SPG
1898,20,i107,SPG
886,24,i1070,PTM
1379,10,i1071,SPG
5268,1,i1072,PTM
4607,7,i1073,St
2357,16,i1074,SPG
263,0,i1075,PTM
2795,20,i1076,SPG
2791,11,i1077,St
5013,8,i1078,SPC
2685,11,i1079,St
3894,16,i108,SPG
950,8,i1080,SPC
1355,18,i1085,SPG
4795,16,i1086,SPG
4246,8,i1087,SPC
3306,10,i1088,SPG
2831,6,i1089,EC
5036,6,i1090,EC
2900,1,i1091,PTM
4968,13,i1092,SPG
1196,1,i1093,PTM
852,11,i1094,St
4236,2,i1095,LC
494,0,i1096,PTM
144,3,i1097,LC
3845,11,i1098,St
5149,4,i11,SPC
4211,5,i1103,St
4714,1,i1104,PTM
5497,4,i1105,SPC
55,4,i1106,SPC
292,4,i1107,SPC
944,24,i1108,PTM
5357,5,i1109,St
5617,0,i1110,PTM
2805,10,i1111,SPG
5116,9,i1112,SPG
3726,4,i1113,SPC
4265,19,i1114,SPG
3672,4,i1115,SPC
4673,4,i1116,SPC
4902,5,i1121,St
3903,14,i1122,SPG
2462,16,i1123,SPG
3003,1,i1124,PTM
605,8,i1125,SPC
5509,1,i1126,PTM
872,11,i1127,St
1251,2,i1128,LC
4771,8,i1129,SPC
5303,0,i113,PTM
300,1,i1130,PTM
1411,10,i1131,SPG
2956,11,i1132,St
5594,1,i1133,PTM
