ID,Unnamed: 0,diameter,sample,label,injectWell,prot_total,Run,Well,plate,Order
B101.0,1,21.97,Monocyte,0.0,B10,26.7615298068968,DDM_Slot1-34_1_1367,B10,1.0,2.0
B101.4,2,30.62,PDAC,4.0,B10,28.7357080892544,DDM_Slot1-34_1_1367,B10,1.0,2.0
B111.0,4,32.18,PDAC,0.0,B11,28.7266487578519,DDM_Slot1-35_1_1368,B11,1.0,3.0
B111.4,5,27.19,Melanoma,4.0,B11,28.2213983008194,DDM_Slot1-35_1_1368,B11,1.0,3.0
B111.8,6,22.98,Monocyte,8.0,B11,27.6701649673756,DDM_Slot1-35_1_1368,B11,1.0,3.0
B121.0,7,22.08,Melanoma,0.0,B12,27.4260407557319,DDM_Slot1-36_1_1369,B12,1.0,4.0
B121.4,8,20.23,Monocyte,4.0,B12,26.5281756394158,DDM_Slot1-36_1_1369,B12,1.0,4.0
B121.8,9,28.77,PDAC,8.0,B12,28.6010994768896,DDM_Slot1-36_1_1369,B12,1.0,4.0
B131.0,10,21.84,Monocyte,0.0,B13,27.0359450620651,DDM_Slot1-37_1_1370,B13,1.0,5.0
B131.4,11,22.46,PDAC,4.0,B13,27.7053576094494,DDM_Slot1-37_1_1370,B13,1.0,5.0
B131.8,12,23.23,Melanoma,8.0,B13,26.681495106529,DDM_Slot1-37_1_1370,B13,1.0,5.0
B141.0,13,24.2,PDAC,0.0,B14,27.8914870573118,DDM_Slot1-38_1_1371,B14,1.0,6.0
B141.4,14,26.95,Melanoma,4.0,B14,28.1449899203183,DDM_Slot1-38_1_1371,B14,1.0,6.0
B141.8,15,20.6,Monocyte,8.0,B14,27.0526163024026,DDM_Slot1-38_1_1371,B14,1.0,6.0
B151.0,16,20.38,Melanoma,0.0,B15,26.4694406114174,DDM_Slot1-39_1_1372,B15,1.0,7.0
B151.4,17,27.38,Monocyte,4.0,B15,27.6020996072355,DDM_Slot1-39_1_1372,B15,1.0,7.0
B151.8,18,23.59,PDAC,8.0,B15,27.8771661350672,DDM_Slot1-39_1_1372,B15,1.0,7.0
B161.0,19,20.6,Monocyte,0.0,B16,26.8897923672865,DDM_Slot1-40_1_1373,B16,1.0,8.0
B161.4,20,24.35,PDAC,4.0,B16,27.2990214671376,DDM_Slot1-40_1_1373,B16,1.0,8.0
B161.8,21,31.62,Melanoma,8.0,B16,27.717213786448,DDM_Slot1-40_1_1373,B16,1.0,8.0
B231.0,22,24.53,Melanoma,0.0,B23,27.3998782494096,DDM_Slot1-47_1_1388,B23,1.0,9.0
B231.4,23,30.19,Monocyte,4.0,B23,28.3671349088232,DDM_Slot1-47_1_1388,B23,1.0,9.0
B231.8,24,30.37,PDAC,8.0,B23,28.1797734705825,DDM_Slot1-47_1_1388,B23,1.0,9.0
B241.0,25,19.31,Monocyte,0.0,B24,26.3786181812875,DDM_Slot1-48_1_1389,B24,1.0,10.0
