id,celltype,batch_digest,batch_sort,batch_chromatography,raw.file
i4,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BO
i5,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BO
i7,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BO
i10,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BO
i11,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BO
i20,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BF
i22,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BF
i24,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BF
i25,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BF
i36,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BP
i37,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BP
i39,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BP
i41,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BP
i42,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BP
i43,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BP
i52,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BL
i57,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BL
i58,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BL
i59,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BL
i68,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BM
i70,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BM
i72,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BM
i73,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BM
i74,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BM
i75,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BM
i85,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BK
i86,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BK
i87,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BK
i88,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BK
i89,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BK
i90,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BK
i100,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BG
i101,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BG
i103,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BG
i104,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BG
i105,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BG
i106,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BG
i116,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BH
i120,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BH
i121,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BH
i122,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BH
i123,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BH
i132,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BB
i134,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BB
i136,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BB
i137,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BB
i138,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BB
i139,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BB
i149,sc_u,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i150,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i151,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i152,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i154,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i155,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i156,sc_u,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i157,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i158,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i159,sc_u,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i160,sc_m0,R,s9,LCB3,X190914S_LCB3_X_16plex_Set_4
i164,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BA
i165,sc_m0,N,s8,LCA9,X190222S_LCA9_X_FP94BA
i168,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BA
i169,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BA
i170,sc_u,N,s8,LCA9,X190222S_LCA9_X_FP94BA
